EntityId,SchoolId,BeginningScoreValue,Element_code,Element_Description,Element_Value1,Element_Value2,Element_Value3,Element_Value4,Element_Value5,Element_Value6,Element_Value7,Element_Value8,RiskCutoff1,RiskCutoff2,RiskCutoff3
70465000,70465101,200,1-GUACS-001,Gifted Under Achievement Core Subjects,-10,-5,0,5,,,,,185,175,165
70465000,70465104,200,1-GUACS-001,Gifted Under Achievement Core Subjects,-10,-5,0,5,,,,,185,175,165
70465000,70465107,200,1-GUACS-001,Gifted Under Achievement Core Subjects,-10,-5,0,5,,,,,185,175,165
70465000,70465106,200,1-GUACS-001,Gifted Under Achievement Core Subjects,-10,-5,0,5,,,,,185,175,165
70465000,70465109,200,1-GUACS-001,Gifted Under Achievement Core Subjects,-10,-5,0,5,,,,,185,175,165
70465000,70465105,200,1-GUACS-001,Gifted Under Achievement Core Subjects,-10,-5,0,5,,,,,185,175,165
70465000,70465108,200,1-GUACS-001,Gifted Under Achievement Core Subjects,-10,-5,0,5,,,,,185,175,165
